[20,20]
Cell[3,7] : P
Cell[3,20] : P
Cell[4,6] : O
Cell[4,7] : O
Cell[4,13] : O
Cell[4,14] : O
Cell[4,15] : O
Cell[5,6] : O
Cell[5,7] : O
Cell[5,12] : P
Cell[5,13] : O
Cell[5,14] : O
Cell[5,15] : O
Cell[6,6] : O
Cell[6,7] : O
Cell[6,9] : O
Cell[6,10] : O
Cell[6,11] : O
Cell[6,12] : O
Cell[6,13] : O
Cell[6,14] : O
Cell[6,15] : O
Cell[6,16] : O
Cell[6,17] : O
Cell[7,6] : O
Cell[7,7] : O
Cell[7,9] : O
Cell[7,10] : O
Cell[7,11] : O
Cell[7,12] : O
Cell[7,16] : O
Cell[8,3] : O
Cell[8,6] : O
Cell[8,7] : O
Cell[8,8] : W 1 3
Cell[8,16] : O
Cell[9,3] : O
Cell[9,6] : O
Cell[9,7] : O
Cell[9,16] : O
Cell[10,4] : P
Cell[10,6] : O
Cell[10,7] : O
Cell[10,14] : G
Cell[10,16] : O
Cell[11,6] : O
Cell[11,7] : O
Cell[11,8] : O
Cell[11,9] : O
Cell[11,10] : O
Cell[12,6] : O
Cell[12,7] : O
Cell[12,8] : O
Cell[12,9] : O
Cell[12,10] : O
Cell[13,6] : O
Cell[13,7] : O
Cell[13,8] : O
Cell[13,9] : O
Cell[13,10] : O
Cell[14,6] : O
Cell[14,7] : O
Cell[14,8] : O
Cell[14,9] : O
Cell[14,10] : O
Cell[14,14] : P
Cell[15,15] : O
Cell[15,16] : O
Cell[15,17] : O
Cell[15,18] : O
Cell[15,19] : O
Cell[15,20] : O
Cell[16,3] : P
Cell[16,15] : O
Cell[16,16] : O
Cell[16,17] : O
Cell[16,18] : O
Cell[16,19] : O
Cell[16,20] : O
Cell[17,1] : O
Cell[17,2] : O
Cell[17,3] : O
Cell[17,4] : O
Cell[17,5] : O
Cell[17,9] : P
Cell[17,10] : P
Cell[17,15] : O
Cell[17,16] : O
Cell[17,17] : O
Cell[17,18] : O
Cell[17,20] : P
Cell[18,1] : O
Cell[18,2] : O
Cell[18,3] : O
Cell[18,4] : O
Cell[18,5] : O
Cell[18,15] : O
Cell[18,16] : O
Cell[18,17] : O
Cell[18,18] : O
Cell[18,19] : P
Cell[19,1] : O
Cell[19,2] : O
Cell[19,3] : O
Cell[19,4] : O
Cell[19,5] : O
Cell[20,1] : O
Cell[20,2] : O
Cell[20,3] : O
Cell[20,4] : O
Cell[20,5] : O
